#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2932576.1         -          kinase_mafft_aligned -           3.6e-119  397.7   0.2  4.4e-119  397.5   0.2   1.0   1   0   0   1   1   1   1 hypothetical protein H1R20_g4537, partial [Candolleomyces eurysporus]
KAJ2936004.1         -          kinase_mafft_aligned -           6.9e-116  386.9   0.3  8.4e-116  386.7   0.3   1.0   1   0   0   1   1   1   1 hypothetical protein H1R20_g1089, partial [Candolleomyces eurysporus]
KAJ2934077.1         -          kinase_mafft_aligned -            9.6e-89  297.6   0.6   1.1e-88  297.4   0.6   1.0   1   0   0   1   1   1   1 hypothetical protein H1R20_g2981, partial [Candolleomyces eurysporus]
KAJ2936277.1         -          kinase_mafft_aligned -            1.7e-75  254.0   3.2   4.7e-42  143.9   0.3   2.0   1   1   1   2   2   2   2 hypothetical protein H1R20_g817, partial [Candolleomyces eurysporus]
KAJ2927144.1         -          kinase_mafft_aligned -            1.7e-11   43.4   0.0    0.0026   16.4   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein H1R20_g9929, partial [Candolleomyces eurysporus]
KAJ2923359.1         -          kinase_mafft_aligned -            1.9e-06   26.7   0.0   7.8e-06   24.7   0.0   1.8   1   1   1   2   2   2   1 hypothetical protein H1R20_g13731, partial [Candolleomyces eurysporus]
KAJ2924350.1         -          kinase_mafft_aligned -            2.3e-06   26.4   0.1   1.6e-05   23.6   0.1   1.9   1   1   1   2   2   2   1 hypothetical protein H1R20_g12738, partial [Candolleomyces eurysporus]
KAJ2936281.1         -          kinase_mafft_aligned -              5e-06   25.3   0.7     6e-05   21.8   0.9   2.2   2   1   0   2   2   2   1 hypothetical protein H1R20_g813, partial [Candolleomyces eurysporus]
KAJ2923197.1         -          kinase_mafft_aligned -            8.9e-06   24.5   0.1   1.5e-05   23.7   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13894, partial [Candolleomyces eurysporus]
KAJ2933689.1         -          kinase_mafft_aligned -            9.2e-06   24.4   0.1   1.8e-05   23.5   0.1   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g3449, partial [Candolleomyces eurysporus]
KAJ2931360.1         -          kinase_mafft_aligned -            1.6e-05   23.7   0.0   2.3e-05   23.1   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g5736, partial [Candolleomyces eurysporus]
KAJ2931367.1         -          kinase_mafft_aligned -            2.3e-05   23.1   0.0   4.2e-05   22.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g5738, partial [Candolleomyces eurysporus]
KAJ2933580.1         -          kinase_mafft_aligned -            2.5e-05   23.0   0.1    0.0014   17.2   0.0   2.8   3   0   0   3   3   3   1 hypothetical protein H1R20_g3516, partial [Candolleomyces eurysporus]
KAJ2931192.1         -          kinase_mafft_aligned -            3.9e-05   22.4   0.0   5.9e-05   21.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5959, partial [Candolleomyces eurysporus]
KAJ2924838.1         -          kinase_mafft_aligned -            4.2e-05   22.3   0.0    0.0012   17.5   0.0   2.3   1   1   1   2   2   2   1 hypothetical protein H1R20_g12264, partial [Candolleomyces eurysporus]
KAJ2930501.1         -          kinase_mafft_aligned -            6.1e-05   21.7   0.0   0.00011   20.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6595, partial [Candolleomyces eurysporus]
KAJ2934825.1         -          kinase_mafft_aligned -            7.2e-05   21.5   0.0   0.00027   19.6   0.0   1.9   2   0   0   2   2   2   1 hypothetical protein H1R20_g2284, partial [Candolleomyces eurysporus]
KAJ2932662.1         -          kinase_mafft_aligned -            0.00011   20.9   0.0   0.00017   20.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4435, partial [Candolleomyces eurysporus]
KAJ2933554.1         -          kinase_mafft_aligned -            0.00013   20.7   0.0   0.00025   19.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g3478, partial [Candolleomyces eurysporus]
KAJ2935887.1         -          kinase_mafft_aligned -            0.00021   20.0   0.0   0.00024   19.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1207, partial [Candolleomyces eurysporus]
KAJ2926893.1         -          kinase_mafft_aligned -            0.00024   19.8   0.0    0.0004   19.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g10225, partial [Candolleomyces eurysporus]
KAJ2936472.1         -          kinase_mafft_aligned -            0.00038   19.1   0.0   0.00057   18.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g621, partial [Candolleomyces eurysporus]
KAJ2922868.1         -          kinase_mafft_aligned -            0.00044   18.9   0.3    0.0061   15.2   0.3   2.4   1   1   1   2   2   2   1 hypothetical protein H1R20_g14265, partial [Candolleomyces eurysporus]
KAJ2931984.1         -          kinase_mafft_aligned -            0.00045   18.9   0.0    0.0007   18.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5129, partial [Candolleomyces eurysporus]
KAJ2934754.1         -          kinase_mafft_aligned -            0.00048   18.8   0.1    0.0026   16.4   0.2   1.9   1   1   1   2   2   2   1 hypothetical protein H1R20_g2330, partial [Candolleomyces eurysporus]
