#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2915492.1         -          nacht_mafft_aligned  -              2e-30  105.1   0.0   2.9e-10   38.8   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein MD484_g4894, partial [Candolleomyces efflorescens]
KAJ2911571.1         -          nacht_mafft_aligned  -            4.4e-27   94.2   0.0   2.5e-14   52.1   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g8842, partial [Candolleomyces efflorescens]
KAJ2919516.1         -          nacht_mafft_aligned  -              1e-23   83.1   0.0   4.7e-12   44.7   0.0   2.3   2   0   0   2   2   2   2 hypothetical protein MD484_g958, partial [Candolleomyces efflorescens]
KAJ2919432.1         -          nacht_mafft_aligned  -            6.4e-23   80.4   0.0   1.1e-10   40.1   0.0   2.3   2   0   0   2   2   2   2 hypothetical protein MD484_g1001, partial [Candolleomyces efflorescens]
KAJ2915998.1         -          nacht_mafft_aligned  -            6.6e-22   77.1   2.6     4e-19   68.0   0.0   2.2   2   0   0   2   2   2   1 hypothetical protein MD484_g4420, partial [Candolleomyces efflorescens]
KAJ2912234.1         -          nacht_mafft_aligned  -              9e-22   76.7   0.0   8.5e-07   27.3   0.0   3.6   3   0   0   3   3   3   3 hypothetical protein MD484_g8176, partial [Candolleomyces efflorescens]
KAJ2917573.1         -          nacht_mafft_aligned  -            1.1e-20   73.1   0.0   6.3e-11   40.9   0.0   2.4   3   0   0   3   3   2   2 hypothetical protein MD484_g2859, partial [Candolleomyces efflorescens]
KAJ2912593.1         -          nacht_mafft_aligned  -            5.5e-19   67.5   0.0   7.9e-10   37.3   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g7816, partial [Candolleomyces efflorescens]
KAJ2916265.1         -          nacht_mafft_aligned  -            6.3e-19   67.3   0.6   1.7e-08   32.9   0.0   3.0   3   0   0   3   3   2   2 hypothetical protein MD484_g4171, partial [Candolleomyces efflorescens]
KAJ2917560.1         -          nacht_mafft_aligned  -            3.9e-17   61.4   0.0   1.3e-07   30.0   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g2876, partial [Candolleomyces efflorescens]
KAJ2915697.1         -          nacht_mafft_aligned  -            5.9e-17   60.8   3.2   1.3e-11   43.3   0.4   2.5   2   1   0   2   2   2   2 hypothetical protein MD484_g4720, partial [Candolleomyces efflorescens]
KAJ2912825.1         -          nacht_mafft_aligned  -            4.7e-16   57.8   0.0   1.2e-15   56.5   0.0   1.6   2   0   0   2   2   1   1 hypothetical protein MD484_g7588, partial [Candolleomyces efflorescens]
KAJ2917529.1         -          nacht_mafft_aligned  -            6.4e-16   57.4   0.0   5.1e-08   31.4   0.0   2.1   2   0   0   2   2   2   2 hypothetical protein MD484_g2863, partial [Candolleomyces efflorescens]
KAJ2919115.1         -          nacht_mafft_aligned  -            1.5e-15   56.2   0.6   2.9e-15   55.2   0.6   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g1292, partial [Candolleomyces efflorescens]
KAJ2918209.1         -          nacht_mafft_aligned  -            2.2e-15   55.6   0.0   2.7e-15   55.3   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g2166, partial [Candolleomyces efflorescens]
KAJ2911637.1         -          nacht_mafft_aligned  -            5.3e-15   54.4   0.0   7.6e-15   53.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8774, partial [Candolleomyces efflorescens]
KAJ2914431.1         -          nacht_mafft_aligned  -            6.2e-15   54.1   0.0     1e-14   53.5   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g5982, partial [Candolleomyces efflorescens]
KAJ2912899.1         -          nacht_mafft_aligned  -            7.3e-15   53.9   0.0   1.2e-14   53.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7515, partial [Candolleomyces efflorescens]
KAJ2912112.1         -          nacht_mafft_aligned  -            1.1e-14   53.4   0.0   1.7e-14   52.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8300, partial [Candolleomyces efflorescens]
