#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2915958.1         -          kinase_mafft_aligned -           2.3e-123  410.7   0.9  2.8e-123  410.4   0.9   1.0   1   0   0   1   1   1   1 hypothetical protein MD484_g4421, partial [Candolleomyces efflorescens]
KAJ2915800.1         -          kinase_mafft_aligned -            9.4e-06   23.5   0.4   2.3e-05   22.2   0.2   1.7   2   0   0   2   2   2   1 hypothetical protein MD484_g4617, partial [Candolleomyces efflorescens]
KAJ2911555.1         -          kinase_mafft_aligned -              2e-05   22.5   0.0    0.0082   13.9   0.0   2.3   1   1   1   2   2   2   2 hypothetical protein MD484_g8862, partial [Candolleomyces efflorescens]
KAJ2919284.1         -          kinase_mafft_aligned -            3.7e-05   21.6   1.2   0.00078   17.2   0.0   2.8   3   0   0   3   3   3   1 hypothetical protein MD484_g1074, partial [Candolleomyces efflorescens]
KAJ2913407.1         -          kinase_mafft_aligned -            4.1e-05   21.4   0.0   6.4e-05   20.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7015, partial [Candolleomyces efflorescens]
KAJ2919304.1         -          kinase_mafft_aligned -            7.2e-05   20.6   0.1   0.00014   19.7   0.1   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g1115, partial [Candolleomyces efflorescens]
KAJ2918678.1         -          kinase_mafft_aligned -            9.6e-05   20.2   0.1   0.00037   18.3   0.0   1.9   2   0   0   2   2   2   1 hypothetical protein MD484_g1745, partial [Candolleomyces efflorescens]
KAJ2915841.1         -          kinase_mafft_aligned -            0.00015   19.6   0.0   0.00078   17.2   0.0   1.9   2   0   0   2   2   2   1 hypothetical protein MD484_g4567, partial [Candolleomyces efflorescens]
KAJ2917145.1         -          kinase_mafft_aligned -            0.00016   19.5   0.3    0.0027   15.5   0.4   2.3   2   1   0   2   2   2   1 hypothetical protein MD484_g3239, partial [Candolleomyces efflorescens]
KAJ2919800.1         -          kinase_mafft_aligned -            0.00029   18.7   0.1   0.00067   17.4   0.0   1.6   2   0   0   2   2   2   1 hypothetical protein MD484_g558, partial [Candolleomyces efflorescens]
KAJ2920288.1         -          kinase_mafft_aligned -            0.00034   18.4   0.0   0.00052   17.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g126, partial [Candolleomyces efflorescens]
KAJ2916117.1         -          kinase_mafft_aligned -            0.00054   17.8   0.1   0.00084   17.1   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4296, partial [Candolleomyces efflorescens]
KAJ2920070.1         -          kinase_mafft_aligned -            0.00084   17.1   0.1    0.0016   16.2   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g320, partial [Candolleomyces efflorescens]
KAJ2917162.1         -          kinase_mafft_aligned -            0.00093   17.0   0.0    0.0014   16.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3254, partial [Candolleomyces efflorescens]
KAJ2914128.1         -          kinase_mafft_aligned -             0.0013   16.5   0.0     0.002   15.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6299, partial [Candolleomyces efflorescens]
KAJ2912308.1         -          kinase_mafft_aligned -             0.0013   16.5   0.1    0.0059   14.3   0.0   1.8   1   1   1   2   2   2   1 hypothetical protein MD484_g8116, partial [Candolleomyces efflorescens]
KAJ2919504.1         -          kinase_mafft_aligned -             0.0017   16.1   0.0    0.0028   15.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g935, partial [Candolleomyces efflorescens]
KAJ2920377.1         -          kinase_mafft_aligned -             0.0017   16.1   0.0    0.0063   14.2   0.0   1.7   1   1   1   2   2   2   1 hypothetical protein MD484_g176, partial [Candolleomyces efflorescens]
KAJ2918558.1         -          kinase_mafft_aligned -             0.0018   16.1   0.0    0.0025   15.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1902, partial [Candolleomyces efflorescens]
KAJ2913071.1         -          kinase_mafft_aligned -             0.0019   16.0   0.0    0.0031   15.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7348, partial [Candolleomyces efflorescens]
KAJ2915454.1         -          kinase_mafft_aligned -             0.0025   15.5   0.1    0.0075   14.0   0.1   1.8   1   1   1   2   2   2   1 hypothetical protein MD484_g4944, partial [Candolleomyces efflorescens]
KAJ2914377.1         -          kinase_mafft_aligned -              0.003   15.3   0.0    0.0087   13.8   0.0   1.6   2   0   0   2   2   2   1 hypothetical protein MD484_g6028, partial [Candolleomyces efflorescens]
KAJ2916628.1         -          kinase_mafft_aligned -             0.0034   15.1   0.6      0.15    9.7   0.3   2.4   2   1   1   3   3   3   1 hypothetical protein MD484_g3788, partial [Candolleomyces efflorescens]
KAJ2915100.1         -          kinase_mafft_aligned -             0.0036   15.0   0.0    0.0061   14.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g5300, partial [Candolleomyces efflorescens]
