#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2935797.1         -          nacht_mafft_aligned  -            1.9e-48  165.4   0.0   6.1e-11   41.8   0.0   4.1   4   0   0   4   4   4   4 hypothetical protein H1R20_g1294, partial [Candolleomyces eurysporus]
KAJ2925891.1         -          nacht_mafft_aligned  -            2.3e-34  119.0   0.0     4e-12   45.7   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein H1R20_g11205, partial [Candolleomyces eurysporus]
KAJ2932575.1         -          nacht_mafft_aligned  -            1.2e-30  106.8   0.2   1.5e-30  106.5   0.2   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4536, partial [Candolleomyces eurysporus]
KAJ2932664.1         -          nacht_mafft_aligned  -            3.9e-27   95.2   0.0   7.3e-15   54.8   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g4430, partial [Candolleomyces eurysporus]
KAJ2925892.1         -          nacht_mafft_aligned  -            1.7e-26   93.1   0.0   1.5e-12   47.1   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g11204, partial [Candolleomyces eurysporus]
KAJ2929814.1         -          nacht_mafft_aligned  -            1.8e-26   93.0   0.0   5.2e-15   55.2   0.0   2.3   2   0   0   2   2   2   2 hypothetical protein H1R20_g7277, partial [Candolleomyces eurysporus]
KAJ2932472.1         -          nacht_mafft_aligned  -            3.3e-26   92.1   0.0   1.4e-12   47.3   0.0   2.1   2   0   0   2   2   2   2 hypothetical protein H1R20_g4616, partial [Candolleomyces eurysporus]
KAJ2921063.1         -          nacht_mafft_aligned  -            3.4e-25   88.8   0.1   3.4e-11   42.7   0.0   2.9   3   0   0   3   3   2   2 hypothetical protein H1R20_g16032, partial [Candolleomyces eurysporus]
KAJ2936593.1         -          nacht_mafft_aligned  -            3.1e-24   85.6   0.0   4.8e-09   35.6   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein H1R20_g498, partial [Candolleomyces eurysporus]
KAJ2923508.1         -          nacht_mafft_aligned  -              4e-24   85.3   0.0   3.2e-14   52.7   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g13587, partial [Candolleomyces eurysporus]
KAJ2924164.1         -          nacht_mafft_aligned  -            4.6e-24   85.1   0.0   1.4e-11   43.9   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g12919, partial [Candolleomyces eurysporus]
KAJ2924098.1         -          nacht_mafft_aligned  -            4.8e-24   85.0   2.9   9.2e-11   41.3   0.0   4.7   5   0   0   5   5   4   4 hypothetical protein H1R20_g13001, partial [Candolleomyces eurysporus]
KAJ2932318.1         -          nacht_mafft_aligned  -            1.3e-23   83.6   0.0   2.1e-10   40.1   0.0   2.9   3   0   0   3   3   2   2 hypothetical protein H1R20_g4786, partial [Candolleomyces eurysporus]
KAJ2928735.1         -          nacht_mafft_aligned  -            1.3e-21   77.0   0.0   9.4e-10   37.9   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g8423, partial [Candolleomyces eurysporus]
KAJ2925584.1         -          nacht_mafft_aligned  -            3.9e-20   72.1   0.0   1.6e-09   37.1   0.0   2.4   2   0   0   2   2   2   2 hypothetical protein H1R20_g11506, partial [Candolleomyces eurysporus]
KAJ2929883.1         -          nacht_mafft_aligned  -            8.7e-20   71.0   0.0   1.5e-09   37.3   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g7205, partial [Candolleomyces eurysporus]
KAJ2921209.1         -          nacht_mafft_aligned  -            1.9e-19   69.9   0.0   2.3e-12   46.5   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g15885, partial [Candolleomyces eurysporus]
KAJ2927717.1         -          nacht_mafft_aligned  -            8.5e-18   64.4   0.0   2.4e-12   46.5   0.0   2.1   2   0   0   2   2   2   2 hypothetical protein H1R20_g9381, partial [Candolleomyces eurysporus]
KAJ2925753.1         -          nacht_mafft_aligned  -            1.4e-17   63.7   0.0   1.5e-08   33.9   0.0   2.4   2   0   0   2   2   2   2 hypothetical protein H1R20_g11343, partial [Candolleomyces eurysporus]
KAJ2921947.1         -          nacht_mafft_aligned  -              3e-17   62.6   0.0   4.6e-17   62.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15141, partial [Candolleomyces eurysporus]
KAJ2929186.1         -          nacht_mafft_aligned  -            5.1e-17   61.9   0.0   2.9e-07   29.8   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g7907, partial [Candolleomyces eurysporus]
KAJ2936086.1         -          nacht_mafft_aligned  -            7.9e-17   61.2   0.0   1.4e-16   60.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g1009, partial [Candolleomyces eurysporus]
KAJ2921878.1         -          nacht_mafft_aligned  -              1e-16   60.9   0.1   1.7e-16   60.1   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15216, partial [Candolleomyces eurysporus]
KAJ2925997.1         -          nacht_mafft_aligned  -            1.1e-16   60.8   0.0   1.7e-16   60.1   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g11101, partial [Candolleomyces eurysporus]
KAJ2924226.1         -          nacht_mafft_aligned  -            1.1e-16   60.8   0.0   1.6e-16   60.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12859, partial [Candolleomyces eurysporus]
KAJ2922499.1         -          nacht_mafft_aligned  -            1.2e-16   60.6   1.2   1.3e-16   60.6   0.0   1.5   2   0   0   2   2   1   1 hypothetical protein H1R20_g14612, partial [Candolleomyces eurysporus]
KAJ2921926.1         -          nacht_mafft_aligned  -            1.3e-16   60.5   0.0   2.2e-16   59.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g15168, partial [Candolleomyces eurysporus]
KAJ2933180.1         -          nacht_mafft_aligned  -            1.9e-16   60.0   0.2   2.7e-16   59.5   0.2   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g3901, partial [Candolleomyces eurysporus]
KAJ2929252.1         -          nacht_mafft_aligned  -              2e-16   59.9   0.1   5.6e-16   58.4   0.0   1.6   2   0   0   2   2   1   1 hypothetical protein H1R20_g7835, partial [Candolleomyces eurysporus]
KAJ2929821.1         -          nacht_mafft_aligned  -            2.6e-16   59.6   0.0   7.6e-10   38.2   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g7267, partial [Candolleomyces eurysporus]
KAJ2935240.1         -          nacht_mafft_aligned  -            3.8e-16   59.0   0.0   5.4e-16   58.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1853, partial [Candolleomyces eurysporus]
KAJ2930424.1         -          nacht_mafft_aligned  -            4.1e-16   58.9   0.2   6.9e-16   58.1   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6670, partial [Candolleomyces eurysporus]
KAJ2924057.1         -          nacht_mafft_aligned  -            4.2e-16   58.8   0.0   7.3e-16   58.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13028, partial [Candolleomyces eurysporus]
KAJ2929884.1         -          nacht_mafft_aligned  -            4.8e-16   58.7   0.0   6.2e-07   28.7   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g7204, partial [Candolleomyces eurysporus]
KAJ2928100.1         -          nacht_mafft_aligned  -            7.8e-16   58.0   0.3   1.3e-15   57.3   0.3   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9000, partial [Candolleomyces eurysporus]
KAJ2923488.1         -          nacht_mafft_aligned  -            9.1e-16   57.7   0.1   1.7e-15   56.8   0.1   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g13604, partial [Candolleomyces eurysporus]
KAJ2920885.1         -          nacht_mafft_aligned  -            1.3e-15   57.3   0.0     2e-15   56.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g16210, partial [Candolleomyces eurysporus]
KAJ2925439.1         -          nacht_mafft_aligned  -            1.5e-15   57.0   0.0   3.2e-10   39.5   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein H1R20_g11656, partial [Candolleomyces eurysporus]
KAJ2929522.1         -          nacht_mafft_aligned  -            1.9e-15   56.7   0.0   2.6e-15   56.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7582, partial [Candolleomyces eurysporus]
KAJ2935806.1         -          nacht_mafft_aligned  -            2.3e-15   56.4   0.0   3.7e-15   55.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1290, partial [Candolleomyces eurysporus]
KAJ2929102.1         -          nacht_mafft_aligned  -            2.8e-15   56.2   0.0   4.5e-15   55.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7988, partial [Candolleomyces eurysporus]
KAJ2930708.1         -          nacht_mafft_aligned  -            4.6e-15   55.4   0.0   9.6e-15   54.4   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g6383, partial [Candolleomyces eurysporus]
KAJ2936777.1         -          nacht_mafft_aligned  -            4.9e-15   55.3   0.0   5.5e-08   32.1   0.0   3.3   3   1   0   3   3   2   2 hypothetical protein H1R20_g305, partial [Candolleomyces eurysporus]
KAJ2925845.1         -          nacht_mafft_aligned  -              5e-15   55.3   0.0   8.7e-15   54.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11249, partial [Candolleomyces eurysporus]
KAJ2933094.1         -          nacht_mafft_aligned  -            7.3e-15   54.8   0.1   1.4e-14   53.9   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4013, partial [Candolleomyces eurysporus]
KAJ2926680.1         -          nacht_mafft_aligned  -            7.3e-15   54.8   0.0   1.1e-14   54.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g10395, partial [Candolleomyces eurysporus]
KAJ2926398.1         -          nacht_mafft_aligned  -            8.4e-15   54.6   0.0   1.4e-14   53.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g10699, partial [Candolleomyces eurysporus]
KAJ2933102.1         -          nacht_mafft_aligned  -            9.3e-15   54.4   0.0   2.3e-14   53.1   0.0   1.5   1   1   1   2   2   1   1 hypothetical protein H1R20_g4001, partial [Candolleomyces eurysporus]
KAJ2936001.1         -          nacht_mafft_aligned  -            9.3e-15   54.4   0.0   2.5e-14   53.0   0.0   1.6   1   1   1   2   2   1   1 hypothetical protein H1R20_g1093, partial [Candolleomyces eurysporus]
KAJ2921590.1         -          nacht_mafft_aligned  -            9.5e-15   54.4   0.0   1.8e-14   53.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15498, partial [Candolleomyces eurysporus]
KAJ2922437.1         -          nacht_mafft_aligned  -            9.7e-15   54.4   0.0   1.3e-14   53.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g14652, partial [Candolleomyces eurysporus]
KAJ2924289.1         -          nacht_mafft_aligned  -            9.9e-15   54.3   0.1   1.4e-14   53.9   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12806, partial [Candolleomyces eurysporus]
KAJ2923970.1         -          nacht_mafft_aligned  -              1e-14   54.3   0.2   1.8e-14   53.5   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13125, partial [Candolleomyces eurysporus]
KAJ2923510.1         -          nacht_mafft_aligned  -              1e-14   54.3   0.0   1.5e-14   53.7   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g13585, partial [Candolleomyces eurysporus]
KAJ2922053.1         -          nacht_mafft_aligned  -              1e-14   54.3   0.1   2.7e-14   52.9   0.1   1.6   1   1   0   1   1   1   1 hypothetical protein H1R20_g15044, partial [Candolleomyces eurysporus]
KAJ2925646.1         -          nacht_mafft_aligned  -            1.3e-14   54.0   0.0     2e-14   53.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11447, partial [Candolleomyces eurysporus]
KAJ2933091.1         -          nacht_mafft_aligned  -            1.8e-14   53.5   0.1   4.1e-14   52.3   0.1   1.5   1   1   0   1   1   1   1 hypothetical protein H1R20_g4015, partial [Candolleomyces eurysporus]
KAJ2920868.1         -          nacht_mafft_aligned  -            1.9e-14   53.4   0.1   3.3e-14   52.6   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g16226, partial [Candolleomyces eurysporus]
KAJ2933114.1         -          nacht_mafft_aligned  -            2.1e-14   53.2   0.2   3.9e-14   52.4   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4009, partial [Candolleomyces eurysporus]
KAJ2929089.1         -          nacht_mafft_aligned  -            2.4e-14   53.1   0.0   4.3e-14   52.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g8007, partial [Candolleomyces eurysporus]
KAJ2923845.1         -          nacht_mafft_aligned  -            2.6e-14   52.9   0.0   3.4e-14   52.6   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g13247, partial [Candolleomyces eurysporus]
KAJ2936229.1         -          nacht_mafft_aligned  -            4.6e-14   52.1   0.0     6e-14   51.7   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g865, partial [Candolleomyces eurysporus]
KAJ2936200.1         -          nacht_mafft_aligned  -            5.3e-14   51.9   0.0   1.1e-13   50.9   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g895, partial [Candolleomyces eurysporus]
KAJ2923244.1         -          nacht_mafft_aligned  -            6.5e-14   51.6   0.1     1e-13   51.0   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13851, partial [Candolleomyces eurysporus]
KAJ2930482.1         -          nacht_mafft_aligned  -            7.9e-14   51.4   0.2   1.4e-13   50.6   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6619, partial [Candolleomyces eurysporus]
KAJ2930451.1         -          nacht_mafft_aligned  -            8.2e-14   51.3   0.1   1.4e-13   50.5   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6642, partial [Candolleomyces eurysporus]
KAJ2935946.1         -          nacht_mafft_aligned  -            8.3e-14   51.3   0.0   1.1e-13   50.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1148, partial [Candolleomyces eurysporus]
KAJ2930483.1         -          nacht_mafft_aligned  -            9.1e-14   51.2   0.2   1.5e-13   50.5   0.2   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g6618, partial [Candolleomyces eurysporus]
KAJ2933092.1         -          nacht_mafft_aligned  -            9.3e-14   51.1   0.0   1.3e-13   50.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4011, partial [Candolleomyces eurysporus]
KAJ2932466.1         -          nacht_mafft_aligned  -            9.5e-14   51.1   0.0   1.3e-13   50.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4628, partial [Candolleomyces eurysporus]
KAJ2927479.1         -          nacht_mafft_aligned  -            9.9e-14   51.0   0.1     2e-13   50.0   0.1   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g9618, partial [Candolleomyces eurysporus]
KAJ2930593.1         -          nacht_mafft_aligned  -              1e-13   51.0   0.1   2.1e-13   49.9   0.1   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g6502, partial [Candolleomyces eurysporus]
KAJ2931087.1         -          nacht_mafft_aligned  -            1.1e-13   50.9   0.1   1.9e-13   50.1   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6003, partial [Candolleomyces eurysporus]
KAJ2929834.1         -          nacht_mafft_aligned  -            1.3e-13   50.7   0.0   1.5e-13   50.4   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g7274, partial [Candolleomyces eurysporus]
KAJ2931081.1         -          nacht_mafft_aligned  -            1.4e-13   50.6   0.1   2.5e-13   49.7   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6004, partial [Candolleomyces eurysporus]
KAJ2929552.1         -          nacht_mafft_aligned  -            1.5e-13   50.5   0.0     2e-13   50.0   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g7526, partial [Candolleomyces eurysporus]
KAJ2924224.1         -          nacht_mafft_aligned  -            1.5e-13   50.5   0.1   2.5e-13   49.7   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g12880, partial [Candolleomyces eurysporus]
KAJ2920884.1         -          nacht_mafft_aligned  -            1.5e-13   50.4   0.0   2.2e-13   49.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g16211, partial [Candolleomyces eurysporus]
KAJ2935674.1         -          nacht_mafft_aligned  -            1.5e-13   50.4   0.0   2.5e-13   49.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g1420, partial [Candolleomyces eurysporus]
KAJ2930480.1         -          nacht_mafft_aligned  -            1.6e-13   50.3   0.1   2.9e-13   49.5   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6617, partial [Candolleomyces eurysporus]
KAJ2933079.1         -          nacht_mafft_aligned  -            1.8e-13   50.2   0.0   3.3e-13   49.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4014, partial [Candolleomyces eurysporus]
KAJ2927955.1         -          nacht_mafft_aligned  -            1.9e-13   50.1   0.0   2.8e-13   49.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g9122, partial [Candolleomyces eurysporus]
KAJ2923027.1         -          nacht_mafft_aligned  -              2e-13   50.0   0.0   3.4e-13   49.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g14068, partial [Candolleomyces eurysporus]
KAJ2928106.1         -          nacht_mafft_aligned  -            2.1e-13   50.0   0.0   3.5e-13   49.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9001, partial [Candolleomyces eurysporus]
KAJ2929826.1         -          nacht_mafft_aligned  -            2.3e-13   49.8   0.0   3.8e-13   49.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g7280, partial [Candolleomyces eurysporus]
KAJ2932042.1         -          nacht_mafft_aligned  -            2.3e-13   49.8   0.0   3.7e-13   49.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5046, partial [Candolleomyces eurysporus]
KAJ2925852.1         -          nacht_mafft_aligned  -            2.4e-13   49.8   0.1   3.7e-13   49.1   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g11242, partial [Candolleomyces eurysporus]
KAJ2927356.1         -          nacht_mafft_aligned  -            2.6e-13   49.7   0.0     5e-13   48.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g9738, partial [Candolleomyces eurysporus]
KAJ2920764.1         -          nacht_mafft_aligned  -            2.8e-13   49.6   0.0     5e-13   48.7   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g16331, partial [Candolleomyces eurysporus]
KAJ2930589.1         -          nacht_mafft_aligned  -              3e-13   49.5   0.0   5.7e-13   48.5   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g6503, partial [Candolleomyces eurysporus]
KAJ2921061.1         -          nacht_mafft_aligned  -              3e-13   49.5   0.0   5.3e-13   48.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g16031, partial [Candolleomyces eurysporus]
KAJ2928108.1         -          nacht_mafft_aligned  -              3e-13   49.4   0.2   5.1e-13   48.7   0.2   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g9002, partial [Candolleomyces eurysporus]
KAJ2931115.1         -          nacht_mafft_aligned  -            3.2e-13   49.3   0.1   5.7e-13   48.5   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g6011, partial [Candolleomyces eurysporus]
KAJ2929003.1         -          nacht_mafft_aligned  -            3.4e-13   49.3   0.1   4.6e-13   48.8   0.1   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g8091, partial [Candolleomyces eurysporus]
KAJ2929210.1         -          nacht_mafft_aligned  -            3.4e-13   49.3   0.0   5.4e-13   48.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g7886, partial [Candolleomyces eurysporus]
KAJ2931116.1         -          nacht_mafft_aligned  -            3.5e-13   49.2   0.1   5.6e-13   48.5   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g6017, partial [Candolleomyces eurysporus]
KAJ2924849.1         -          nacht_mafft_aligned  -            3.7e-13   49.2   0.0   5.7e-13   48.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12235, partial [Candolleomyces eurysporus]
KAJ2928594.1         -          nacht_mafft_aligned  -            4.1e-13   49.0   0.0   5.8e-13   48.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g8514, partial [Candolleomyces eurysporus]
KAJ2926576.1         -          nacht_mafft_aligned  -            4.2e-13   49.0   0.0     6e-13   48.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g10511, partial [Candolleomyces eurysporus]
KAJ2924454.1         -          nacht_mafft_aligned  -            4.3e-13   48.9   0.0   6.8e-13   48.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12637, partial [Candolleomyces eurysporus]
KAJ2922309.1         -          nacht_mafft_aligned  -            4.4e-13   48.9   0.0   6.8e-13   48.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14785, partial [Candolleomyces eurysporus]
KAJ2922378.1         -          nacht_mafft_aligned  -            4.9e-13   48.7   0.0   8.2e-13   48.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14711, partial [Candolleomyces eurysporus]
KAJ2928130.1         -          nacht_mafft_aligned  -            5.1e-13   48.7   0.0   9.4e-13   47.8   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g8976, partial [Candolleomyces eurysporus]
KAJ2925794.1         -          nacht_mafft_aligned  -            5.1e-13   48.7   0.1   1.1e-12   47.6   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein H1R20_g11300, partial [Candolleomyces eurysporus]
KAJ2929551.1         -          nacht_mafft_aligned  -            5.4e-13   48.6   0.0     1e-12   47.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g7525, partial [Candolleomyces eurysporus]
KAJ2928126.1         -          nacht_mafft_aligned  -            6.1e-13   48.4   0.0     9e-13   47.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8979, partial [Candolleomyces eurysporus]
KAJ2936399.1         -          nacht_mafft_aligned  -            6.6e-13   48.3   0.0   9.4e-13   47.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein H1R20_g695, partial [Candolleomyces eurysporus]
KAJ2923026.1         -          nacht_mafft_aligned  -            6.6e-13   48.3   0.2   1.5e-12   47.1   0.2   1.5   1   1   0   1   1   1   1 hypothetical protein H1R20_g14067, partial [Candolleomyces eurysporus]
KAJ2921850.1         -          nacht_mafft_aligned  -            6.7e-13   48.3   0.0   1.1e-12   47.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g15244, partial [Candolleomyces eurysporus]
KAJ2924455.1         -          nacht_mafft_aligned  -            6.7e-13   48.3   0.0   1.1e-12   47.7   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g12636, partial [Candolleomyces eurysporus]
KAJ2934189.1         -          nacht_mafft_aligned  -              7e-13   48.2   0.0   1.2e-12   47.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g2916, partial [Candolleomyces eurysporus]
KAJ2922395.1         -          nacht_mafft_aligned  -            7.3e-13   48.2   0.0   1.1e-12   47.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14699, partial [Candolleomyces eurysporus]
KAJ2926882.1         -          nacht_mafft_aligned  -            8.2e-13   48.0   0.0   1.8e-12   46.9   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein H1R20_g10230, partial [Candolleomyces eurysporus]
KAJ2929775.1         -          nacht_mafft_aligned  -            8.9e-13   47.9   0.0   1.5e-12   47.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g7347, partial [Candolleomyces eurysporus]
KAJ2923886.1         -          nacht_mafft_aligned  -              9e-13   47.9   0.0   1.4e-12   47.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g13208, partial [Candolleomyces eurysporus]
KAJ2922316.1         -          nacht_mafft_aligned  -            9.1e-13   47.9   0.0   1.5e-12   47.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g14779, partial [Candolleomyces eurysporus]
KAJ2932059.1         -          nacht_mafft_aligned  -            9.3e-13   47.8   0.0   1.4e-12   47.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g5047, partial [Candolleomyces eurysporus]
KAJ2926575.1         -          nacht_mafft_aligned  -            9.6e-13   47.8   0.0   1.5e-12   47.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g10510, partial [Candolleomyces eurysporus]
KAJ2929037.1         -          nacht_mafft_aligned  -            9.7e-13   47.8   0.1   1.5e-12   47.1   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g8061, partial [Candolleomyces eurysporus]
KAJ2925775.1         -          nacht_mafft_aligned  -              1e-12   47.7   0.0   1.9e-12   46.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g11320, partial [Candolleomyces eurysporus]
KAJ2933096.1         -          nacht_mafft_aligned  -              1e-12   47.7   0.0   1.6e-12   47.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein H1R20_g4007, partial [Candolleomyces eurysporus]
KAJ2926780.1         -          nacht_mafft_aligned  -              1e-12   47.7   0.0     2e-12   46.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein H1R20_g10305, partial [Candolleomyces eurysporus]
KAJ2933039.1         -          nacht_mafft_aligned  -            1.1e-12   47.6   0.0   1.7e-12   47.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g4032, partial [Candolleomyces eurysporus]
KAJ2923893.1         -          nacht_mafft_aligned  -            1.1e-12   47.6   0.0   1.9e-12   46.8   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein H1R20_g13203, partial [Candolleomyces eurysporus]
