Strain	N_candidate_loci	N_NACHTs	N_Kinases	NACHTS_locustags	Kinases_locustags
Psicy2	2	1	1	CVT25_011427	CVT25_011429
LU_PSS_1.0	0	0	0		
Corgl3	3	9	3	BYT27DRAFT_6516777,BYT27DRAFT_6516972,BYT27DRAFT_6517096,BYT27DRAFT_7097144,BYT27DRAFT_7135942,BYT27DRAFT_7187645,BYT27DRAFT_7222334,BYT27DRAFT_7232197,BYT27DRAFT_7255648	BYT27DRAFT_7135952,BYT27DRAFT_7210032,BYT27DRAFT_7232676
MGC_Penvy_1	1	1	1	JR316_0011810	JR316_0011812
CC3	2	3	3	CC1G_05063,CC1G_06673,CC1G_06675	CC1G_05064,CC1G_06674,CC1G_06676
Copmar1	2	7	4	FA15DRAFT_500038,FA15DRAFT_500113,FA15DRAFT_500301,FA15DRAFT_671123,FA15DRAFT_671126,FA15DRAFT_671135,FA15DRAFT_695481	FA15DRAFT_643594,FA15DRAFT_643605,FA15DRAFT_671128,FA15DRAFT_757735
Copmic2	3	8	10	FA13DRAFT_1409911,FA13DRAFT_1739922,FA13DRAFT_1739927,FA13DRAFT_1815531,FA13DRAFT_1818377,FA13DRAFT_1818384,FA13DRAFT_685937,FA13DRAFT_686213	FA13DRAFT_1639841,FA13DRAFT_1690318,FA13DRAFT_1694317,FA13DRAFT_1694326,FA13DRAFT_1735142,FA13DRAFT_1739917,FA13DRAFT_1775668,FA13DRAFT_1797966,FA13DRAFT_1797968,FA13DRAFT_1815533
Copph3	4	4	4	BKA70DRAFT_1147110,BKA70DRAFT_1328950,BKA70DRAFT_1352408,BKA70DRAFT_1569362	BKA70DRAFT_1100585,BKA70DRAFT_1313543,BKA70DRAFT_1352405,BKA70DRAFT_1540314
Coprinellus_aureogranulatus_MPG-14n_reassembly	3	4	3	NMY22_g16578,NMY22_g364,NMY22_g9373,NMY22_g9378	NMY22_g16577,NMY22_g363,NMY22_g9377
Laccaria_amethystina_LaAM-08-1_v1.0	0	0	0		
ASM412641v1	5	6	6	EST38_g11207,EST38_g13154,EST38_g4934,EST38_g5589,EST38_g7462,EST38_g7464	EST38_g11206,EST38_g13155,EST38_g4933,EST38_g5587,EST38_g7463,EST38_g7465
LU_COA_1.0	3	5	5	D9611_000731,D9611_000732,D9611_003034,D9611_003043,D9611_003046	D9611_000730,D9611_000733,D9611_003035,D9611_003042,D9611_003047
Candolleomyces_eurysporus_reassembly_enz	1	1	1	H1R20_g4536	H1R20_g4537
Candolleomyces_efflorescens_reassembly_enz	1	1	1	MD484_g4420	MD484_g4421
V1.0	0	0	0		
Agabi_varbisH97_2	0	0	0		
